representation_name,representation_family,split_name,target_name,threshold,task_type,tensor_dir,x_train_path,x_test_path,y_train_path,y_test_path,x_train_shape,x_test_shape,y_train_shape,y_test_shape,feature_width,sequence_exported,sequence_train_path,sequence_test_path,sequence_train_shape,sequence_test_shape,train_row_count,test_row_count,train_video_count,test_video_count,train_event_count,test_event_count,train_positive_rate,test_positive_rate,uses_labels_for_fit,uses_future_features,fit_scope,pca_width,pca_cache_reused,pca_rebuilt,supervised_selection,video_83_included,exclude_video_83_variant,checksum_manifest_path,leakage_contract_path,verification_status,notes
topk_vertices_512,supervised_feature_selection,blocked,arousal__future_change_p3s_movement,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_change_p3s_movement__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_change_p3s_movement__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_change_p3s_movement__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_change_p3s_movement__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_change_p3s_movement__thr_0.05/y_test.npy,"[6237, 512]","[2708, 512]",[6237],[2708],512,false,,,,,6237,2708,124,123,1685,668,0.2701619267463684,0.2466765195131302,true,false,train_rows_only,,,,true,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_change_p3s_movement__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_change_p3s_movement__thr_0.05/leakage_contract.json,pass,
cortical_pca64_delta_frozen_baseline,frozen_reference,blocked,arousal__future_change_p3s_movement,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_change_p3s_movement__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_change_p3s_movement__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_change_p3s_movement__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_change_p3s_movement__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_change_p3s_movement__thr_0.05/y_test.npy,"[6237, 384]","[2708, 384]",[6237],[2708],384,false,,,,,6237,2708,124,123,1685,668,0.2701619267463684,0.2466765195131302,false,false,train_rows_only,64,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_change_p3s_movement__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_change_p3s_movement__thr_0.05/leakage_contract.json,pass,
pca_sequence_128_causal_past_2s_mean,causal_sequence_compression,official,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[7029, 128]","[2956, 128]",[7029],[2956],128,true,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.05/X_sequence_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.05/X_sequence_test.npy,"[7029, 3, 128]","[2956, 3, 128]",7029,2956,124,124,1209,392,0.1720017045736313,0.13261163234710693,false,false,train_rows_only,128,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,Sequence tensors exported.
roi_parcel_features,atlas_compression,official,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[7277, 75]","[2956, 75]",[7277],[2956],75,false,,,,,7277,2956,124,124,1289,392,0.1771334409713745,0.13261163234710693,false,false,train_rows_only,,,,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,
topk_vertices_512,supervised_feature_selection,official,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[7277, 512]","[2956, 512]",[7277],[2956],512,false,,,,,7277,2956,124,124,1289,392,0.1771334409713745,0.13261163234710693,true,false,train_rows_only,,,,true,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,
cortical_pca64_delta_frozen_baseline,frozen_reference,official,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[7277, 384]","[2956, 384]",[7277],[2956],384,false,,,,,7277,2956,124,124,1289,392,0.1771334409713745,0.13261163234710693,false,false,train_rows_only,64,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,
pca_sequence_128_causal_past_2s_mean,causal_sequence_compression,official,arousal__future_spike_1_3s,0.075,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.075,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.075/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.075/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.075/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.075/y_test.npy,"[7029, 128]","[2956, 128]",[7029],[2956],128,true,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.075/X_sequence_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.075/X_sequence_test.npy,"[7029, 3, 128]","[2956, 3, 128]",7029,2956,124,124,709,228,0.10086783021688461,0.0771312564611435,false,false,train_rows_only,128,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.075/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_spike_1_3s__thr_0.075/leakage_contract.json,pass,Sequence tensors exported.
roi_parcel_features,atlas_compression,official,arousal__future_spike_1_3s,0.075,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.075,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.075/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.075/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.075/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.075/y_test.npy,"[7277, 75]","[2956, 75]",[7277],[2956],75,false,,,,,7277,2956,124,124,764,228,0.10498832166194916,0.0771312564611435,false,false,train_rows_only,,,,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.075/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_spike_1_3s__thr_0.075/leakage_contract.json,pass,
topk_vertices_512,supervised_feature_selection,official,arousal__future_spike_1_3s,0.075,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.075,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.075/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.075/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.075/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.075/y_test.npy,"[7277, 512]","[2956, 512]",[7277],[2956],512,false,,,,,7277,2956,124,124,764,228,0.10498832166194916,0.0771312564611435,true,false,train_rows_only,,,,true,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.075/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_spike_1_3s__thr_0.075/leakage_contract.json,pass,
cortical_pca64_delta_frozen_baseline,frozen_reference,official,arousal__future_spike_1_3s,0.075,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.075,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.075/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.075/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.075/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.075/y_test.npy,"[7277, 384]","[2956, 384]",[7277],[2956],384,false,,,,,7277,2956,124,124,764,228,0.10498832166194916,0.0771312564611435,false,false,train_rows_only,64,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.075/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_spike_1_3s__thr_0.075/leakage_contract.json,pass,
pca_sequence_128_causal_past_2s_mean,causal_sequence_compression,official,arousal__future_change_p3s_movement,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_change_p3s_movement__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_change_p3s_movement__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_change_p3s_movement__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_change_p3s_movement__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_change_p3s_movement__thr_0.05/y_test.npy,"[7029, 128]","[2708, 128]",[7029],[2708],128,true,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_change_p3s_movement__thr_0.05/X_sequence_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_change_p3s_movement__thr_0.05/X_sequence_test.npy,"[7029, 3, 128]","[2708, 3, 128]",7029,2708,124,123,1788,668,0.25437474250793457,0.2466765195131302,false,false,train_rows_only,128,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_change_p3s_movement__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/official/arousal__future_change_p3s_movement__thr_0.05/leakage_contract.json,pass,Sequence tensors exported.
roi_parcel_features,atlas_compression,official,arousal__future_change_p3s_movement,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_change_p3s_movement__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_change_p3s_movement__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_change_p3s_movement__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_change_p3s_movement__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_change_p3s_movement__thr_0.05/y_test.npy,"[7277, 75]","[2708, 75]",[7277],[2708],75,false,,,,,7277,2708,124,123,1914,668,0.26302048563957214,0.2466765195131302,false,false,train_rows_only,,,,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_change_p3s_movement__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/official/arousal__future_change_p3s_movement__thr_0.05/leakage_contract.json,pass,
topk_vertices_512,supervised_feature_selection,official,arousal__future_change_p3s_movement,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_change_p3s_movement__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_change_p3s_movement__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_change_p3s_movement__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_change_p3s_movement__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_change_p3s_movement__thr_0.05/y_test.npy,"[7277, 512]","[2708, 512]",[7277],[2708],512,false,,,,,7277,2708,124,123,1914,668,0.26302048563957214,0.2466765195131302,true,false,train_rows_only,,,,true,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_change_p3s_movement__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/official/arousal__future_change_p3s_movement__thr_0.05/leakage_contract.json,pass,
cortical_pca64_delta_frozen_baseline,frozen_reference,official,arousal__future_change_p3s_movement,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_change_p3s_movement__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_change_p3s_movement__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_change_p3s_movement__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_change_p3s_movement__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_change_p3s_movement__thr_0.05/y_test.npy,"[7277, 384]","[2708, 384]",[7277],[2708],384,false,,,,,7277,2708,124,123,1914,668,0.26302048563957214,0.2466765195131302,false,false,train_rows_only,64,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_change_p3s_movement__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/official/arousal__future_change_p3s_movement__thr_0.05/leakage_contract.json,pass,
pca_sequence_128_causal_past_2s_mean,causal_sequence_compression,grouped_0,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/grouped_0/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/grouped_0/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/grouped_0/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/grouped_0/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/grouped_0/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[8072, 128]","[1913, 128]",[8072],[1913],128,true,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/grouped_0/arousal__future_spike_1_3s__thr_0.05/X_sequence_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/grouped_0/arousal__future_spike_1_3s__thr_0.05/X_sequence_test.npy,"[8072, 3, 128]","[1913, 3, 128]",8072,1913,99,25,1326,275,0.16427156329154968,0.1437532603740692,false,false,train_rows_only,128,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/grouped_0/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/grouped_0/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,Sequence tensors exported.
roi_parcel_features,atlas_compression,grouped_0,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/grouped_0/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/grouped_0/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/grouped_0/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/grouped_0/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/grouped_0/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[8270, 75]","[1963, 75]",[8270],[1963],75,false,,,,,8270,1963,99,25,1384,297,0.1673518717288971,0.15129902958869934,false,false,train_rows_only,,,,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/grouped_0/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/grouped_0/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,
topk_vertices_512,supervised_feature_selection,grouped_0,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/grouped_0/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/grouped_0/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/grouped_0/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/grouped_0/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/grouped_0/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[8270, 512]","[1963, 512]",[8270],[1963],512,false,,,,,8270,1963,99,25,1384,297,0.1673518717288971,0.15129902958869934,true,false,train_rows_only,,,,true,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/grouped_0/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/grouped_0/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,
