target_name,seed,control_type,frozen_ar_train_checksum,frozen_ar_test_checksum,same_ar_as_reference
future_arousal_max_delta_rows_4_10_train_q90,20260627,random_pca_residual,1f3a5ab9ef9ee64f210057d3e89fcdb7,718b7d93a3fdf86db53ce0f5e5a3e6a6,True
future_arousal_max_delta_rows_4_10_train_q90,20260627,label_permutation_residual,1f3a5ab9ef9ee64f210057d3e89fcdb7,718b7d93a3fdf86db53ce0f5e5a3e6a6,True
future_arousal_max_delta_rows_4_10_train_q90,20260627,train_only_video_mean_residual,1f3a5ab9ef9ee64f210057d3e89fcdb7,718b7d93a3fdf86db53ce0f5e5a3e6a6,True
future_arousal_max_delta_rows_4_10_train_q90,20260627,diagnostics_only_residual,1f3a5ab9ef9ee64f210057d3e89fcdb7,718b7d93a3fdf86db53ce0f5e5a3e6a6,True
residual_future_max_delta_rows_4_10,20260625,real_residual,522aa7387d3d7bc3a714853be403f8cf,148dc7bf4812ebb5c7b92c4f94600555,True
residual_future_max_delta_rows_4_10,20260625,shuffled_pca_residual,522aa7387d3d7bc3a714853be403f8cf,148dc7bf4812ebb5c7b92c4f94600555,True
residual_future_max_delta_rows_4_10,20260625,random_pca_residual,522aa7387d3d7bc3a714853be403f8cf,148dc7bf4812ebb5c7b92c4f94600555,True
residual_future_max_delta_rows_4_10,20260625,label_permutation_residual,522aa7387d3d7bc3a714853be403f8cf,148dc7bf4812ebb5c7b92c4f94600555,True
residual_future_max_delta_rows_4_10,20260625,train_only_video_mean_residual,522aa7387d3d7bc3a714853be403f8cf,148dc7bf4812ebb5c7b92c4f94600555,True
residual_future_max_delta_rows_4_10,20260625,diagnostics_only_residual,522aa7387d3d7bc3a714853be403f8cf,148dc7bf4812ebb5c7b92c4f94600555,True
residual_future_max_delta_rows_4_10,20260626,real_residual,ae26e1ab4869d45e47106a7c1ce5fd76,89d6bbc9a0739787f8f1c52cac372389,True
residual_future_max_delta_rows_4_10,20260626,shuffled_pca_residual,ae26e1ab4869d45e47106a7c1ce5fd76,89d6bbc9a0739787f8f1c52cac372389,True
residual_future_max_delta_rows_4_10,20260626,random_pca_residual,ae26e1ab4869d45e47106a7c1ce5fd76,89d6bbc9a0739787f8f1c52cac372389,True
residual_future_max_delta_rows_4_10,20260626,label_permutation_residual,ae26e1ab4869d45e47106a7c1ce5fd76,89d6bbc9a0739787f8f1c52cac372389,True
residual_future_max_delta_rows_4_10,20260626,train_only_video_mean_residual,ae26e1ab4869d45e47106a7c1ce5fd76,89d6bbc9a0739787f8f1c52cac372389,True
residual_future_max_delta_rows_4_10,20260626,diagnostics_only_residual,ae26e1ab4869d45e47106a7c1ce5fd76,89d6bbc9a0739787f8f1c52cac372389,True
residual_future_max_delta_rows_4_10,20260627,real_residual,c813c8f9a397b86f3bed42f8eed30b55,ccad80ace3106801cbebaaa5699b0bfd,True
residual_future_max_delta_rows_4_10,20260627,shuffled_pca_residual,c813c8f9a397b86f3bed42f8eed30b55,ccad80ace3106801cbebaaa5699b0bfd,True
residual_future_max_delta_rows_4_10,20260627,random_pca_residual,c813c8f9a397b86f3bed42f8eed30b55,ccad80ace3106801cbebaaa5699b0bfd,True
residual_future_max_delta_rows_4_10,20260627,label_permutation_residual,c813c8f9a397b86f3bed42f8eed30b55,ccad80ace3106801cbebaaa5699b0bfd,True
residual_future_max_delta_rows_4_10,20260627,train_only_video_mean_residual,c813c8f9a397b86f3bed42f8eed30b55,ccad80ace3106801cbebaaa5699b0bfd,True
residual_future_max_delta_rows_4_10,20260627,diagnostics_only_residual,c813c8f9a397b86f3bed42f8eed30b55,ccad80ace3106801cbebaaa5699b0bfd,True
