protocol,fold,seed,lane,residual_suppressed,checkpoint_restore_pass,checkpoint_path,checkpoint_exists,expected_checkpoint_checksum,actual_checkpoint_checksum,checkpoint_checksum_match,checkpoint_policy_pass
blocked_temporal_70_30,1,20260626,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260626__best.npz,True,a4e93bb98b4abb154ba3f8fb699fa2ec,a4e93bb98b4abb154ba3f8fb699fa2ec,True,True
blocked_temporal_70_30,1,20260626,diagnostics_only_residual,True,True,,False,,,True,True
blocked_temporal_70_30,1,20260627,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260627__best.npz,True,2130d070864739e3bdf2aafddf41b777,2130d070864739e3bdf2aafddf41b777,True,True
blocked_temporal_70_30,1,20260627,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260627__best.npz,True,9684e30e0fb97df1ee873d6e59da0f0d,9684e30e0fb97df1ee873d6e59da0f0d,True,True
blocked_temporal_70_30,1,20260627,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260627__best.npz,True,b372143d2a75277630f9eeb5416a2aa1,b372143d2a75277630f9eeb5416a2aa1,True,True
blocked_temporal_70_30,1,20260627,label_permutation_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260627__best.npz,True,f048253ca33266bf8b45fcc38eaf9567,f048253ca33266bf8b45fcc38eaf9567,True,True
blocked_temporal_70_30,1,20260627,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260627__best.npz,True,9c7b925ba160f7c7b3a9fad0cb14a458,9c7b925ba160f7c7b3a9fad0cb14a458,True,True
blocked_temporal_70_30,1,20260627,diagnostics_only_residual,True,True,,False,,,True,True
blocked_temporal_70_30,1,20260628,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260628__best.npz,True,be31f6d3e0ff31e4160c815b46828889,be31f6d3e0ff31e4160c815b46828889,True,True
blocked_temporal_70_30,1,20260628,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260628__best.npz,True,f6f262ab265c62658a8e4621593195f3,f6f262ab265c62658a8e4621593195f3,True,True
blocked_temporal_70_30,1,20260628,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260628__best.npz,True,4a91852345093940682b7f3164940c46,4a91852345093940682b7f3164940c46,True,True
blocked_temporal_70_30,1,20260628,label_permutation_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260628__best.npz,True,e34c5f270615ba207f77a14804d774bf,e34c5f270615ba207f77a14804d774bf,True,True
blocked_temporal_70_30,1,20260628,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260628__best.npz,True,429fb81dc857809717bc7550ae9990a0,429fb81dc857809717bc7550ae9990a0,True,True
blocked_temporal_70_30,1,20260628,diagnostics_only_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__diagnostics_only_residual__seed20260628__best.npz,True,7d08cc0071159599c572919435631c9a,7d08cc0071159599c572919435631c9a,True,True
blocked_temporal_70_30,1,20260629,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260629__best.npz,True,20ada13be07027c6a21f62bf5fd1b93f,20ada13be07027c6a21f62bf5fd1b93f,True,True
blocked_temporal_70_30,1,20260629,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260629__best.npz,True,4b505ef5c8bdedfcc56611a763578227,4b505ef5c8bdedfcc56611a763578227,True,True
blocked_temporal_70_30,1,20260629,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260629__best.npz,True,11d2b9830c4c0726490d74cb26d9f342,11d2b9830c4c0726490d74cb26d9f342,True,True
blocked_temporal_70_30,1,20260629,label_permutation_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260629__best.npz,True,0fc148cf56852f0b8512d7addb046756,0fc148cf56852f0b8512d7addb046756,True,True
blocked_temporal_70_30,1,20260629,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260629__best.npz,True,7a5c6b8fa78be4c6e14e28098deff67a,7a5c6b8fa78be4c6e14e28098deff67a,True,True
blocked_temporal_70_30,1,20260629,diagnostics_only_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__diagnostics_only_residual__seed20260629__best.npz,True,19f1a12ccef930de8756113431523758,19f1a12ccef930de8756113431523758,True,True
blocked_temporal_70_30,1,20260630,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260630__best.npz,True,82fb8da351bcb3c4f65a1994a55ee108,82fb8da351bcb3c4f65a1994a55ee108,True,True
blocked_temporal_70_30,1,20260630,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260630__best.npz,True,0f1177a6d60d3edb697ce28b5f2eeadf,0f1177a6d60d3edb697ce28b5f2eeadf,True,True
blocked_temporal_70_30,1,20260630,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260630__best.npz,True,fc7386a424aae0d0fedc8dd7199288c5,fc7386a424aae0d0fedc8dd7199288c5,True,True
blocked_temporal_70_30,1,20260630,label_permutation_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260630__best.npz,True,9cac24abdbd6136fb9b0c6f0571ccce3,9cac24abdbd6136fb9b0c6f0571ccce3,True,True
blocked_temporal_70_30,1,20260630,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260630__best.npz,True,5fb6e84de1218ffbfebbab559c8353f5,5fb6e84de1218ffbfebbab559c8353f5,True,True
blocked_temporal_70_30,1,20260630,diagnostics_only_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__diagnostics_only_residual__seed20260630__best.npz,True,509def0822e89bb7376b62b9b72304ed,509def0822e89bb7376b62b9b72304ed,True,True
blocked_temporal_70_30,1,20260631,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260631__best.npz,True,7cb869237fea75ecbafa85613558e920,7cb869237fea75ecbafa85613558e920,True,True
blocked_temporal_70_30,1,20260631,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260631__best.npz,True,bec14d502ae2cc5ed559bee99ae5954d,bec14d502ae2cc5ed559bee99ae5954d,True,True
blocked_temporal_70_30,1,20260631,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260631__best.npz,True,abb4788faac9d9929880e5c21e175039,abb4788faac9d9929880e5c21e175039,True,True
blocked_temporal_70_30,1,20260631,label_permutation_residual,True,True,,False,,,True,True
blocked_temporal_70_30,1,20260631,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260631__best.npz,True,bd10363681c9d0294f327caa6e42c99d,bd10363681c9d0294f327caa6e42c99d,True,True
blocked_temporal_70_30,1,20260631,diagnostics_only_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__diagnostics_only_residual__seed20260631__best.npz,True,6c805503fe7cfeb0cfa525e2ac8402be,6c805503fe7cfeb0cfa525e2ac8402be,True,True
blocked_temporal_70_30,1,20260632,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260632__best.npz,True,c3349a4660219942baf571526bb251d6,c3349a4660219942baf571526bb251d6,True,True
blocked_temporal_70_30,1,20260632,shuffled_pca_residual,True,True,,False,,,True,True
blocked_temporal_70_30,1,20260632,random_pca_residual,True,True,,False,,,True,True
blocked_temporal_70_30,1,20260632,label_permutation_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260632__best.npz,True,644f94dea2079190338ed3446a905aae,644f94dea2079190338ed3446a905aae,True,True
blocked_temporal_70_30,1,20260632,train_only_video_mean_residual,True,True,,False,,,True,True
blocked_temporal_70_30,1,20260632,diagnostics_only_residual,True,True,,False,,,True,True
blocked_temporal_70_30,1,20260633,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260633__best.npz,True,2ff271e9a21545591f929079039b6863,2ff271e9a21545591f929079039b6863,True,True
blocked_temporal_70_30,1,20260633,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260633__best.npz,True,4ea1863e1224949be775a492835c0e9e,4ea1863e1224949be775a492835c0e9e,True,True
blocked_temporal_70_30,1,20260633,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260633__best.npz,True,e5b37e1704afbf59dc0aee07aa653942,e5b37e1704afbf59dc0aee07aa653942,True,True
blocked_temporal_70_30,1,20260633,label_permutation_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260633__best.npz,True,61dfec27b479c33efc4ea3365b9b7bff,61dfec27b479c33efc4ea3365b9b7bff,True,True
blocked_temporal_70_30,1,20260633,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260633__best.npz,True,8de1992af33bb705bd800493724c5881,8de1992af33bb705bd800493724c5881,True,True
blocked_temporal_70_30,1,20260633,diagnostics_only_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__diagnostics_only_residual__seed20260633__best.npz,True,bac1998310ae5c631f3444f67e6c7d4c,bac1998310ae5c631f3444f67e6c7d4c,True,True
blocked_temporal_70_30,1,20260634,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260634__best.npz,True,a4c9e256c2d0635c72698d13f9694e2e,a4c9e256c2d0635c72698d13f9694e2e,True,True
blocked_temporal_70_30,1,20260634,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260634__best.npz,True,f821488635271139b7e36fa140fa60df,f821488635271139b7e36fa140fa60df,True,True
blocked_temporal_70_30,1,20260634,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260634__best.npz,True,b8b4f1247f8cf02c99311eb687d8d854,b8b4f1247f8cf02c99311eb687d8d854,True,True
blocked_temporal_70_30,1,20260634,label_permutation_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260634__best.npz,True,90006b99c1469626be4f9172e87930ba,90006b99c1469626be4f9172e87930ba,True,True
blocked_temporal_70_30,1,20260634,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260634__best.npz,True,b72f9d024285aa40fd6dffb0fde702df,b72f9d024285aa40fd6dffb0fde702df,True,True
blocked_temporal_70_30,1,20260634,diagnostics_only_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__diagnostics_only_residual__seed20260634__best.npz,True,c1f3220739f64b2235f9882b4cf53e3b,c1f3220739f64b2235f9882b4cf53e3b,True,True
grouped_video,1,20260625,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__real_residual__seed20260625__best.npz,True,633440dee6ce633df73568a9605dcc21,633440dee6ce633df73568a9605dcc21,True,True
grouped_video,1,20260625,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__shuffled_pca_residual__seed20260625__best.npz,True,0b929305577c22218f4d3a9e91483e83,0b929305577c22218f4d3a9e91483e83,True,True
grouped_video,1,20260625,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__random_pca_residual__seed20260625__best.npz,True,893cf35e10b55654618b7075fb765642,893cf35e10b55654618b7075fb765642,True,True
grouped_video,1,20260625,label_permutation_residual,True,True,,False,,,True,True
grouped_video,1,20260625,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__train_only_video_mean_residual__seed20260625__best.npz,True,0eafbd025ff251647a79cef98687e1f7,0eafbd025ff251647a79cef98687e1f7,True,True
grouped_video,1,20260625,diagnostics_only_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__diagnostics_only_residual__seed20260625__best.npz,True,f506171a6fc5373927804322ba7e144f,f506171a6fc5373927804322ba7e144f,True,True
grouped_video,1,20260626,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__real_residual__seed20260626__best.npz,True,fa46afb3ea1fa63c4663ac4549b427b7,fa46afb3ea1fa63c4663ac4549b427b7,True,True
grouped_video,1,20260626,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__shuffled_pca_residual__seed20260626__best.npz,True,e44b39aee6be3409092e861a5b21afcb,e44b39aee6be3409092e861a5b21afcb,True,True
grouped_video,1,20260626,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__random_pca_residual__seed20260626__best.npz,True,f2fa720fdf1e2c4fcf7ec33f9aa4cf03,f2fa720fdf1e2c4fcf7ec33f9aa4cf03,True,True
grouped_video,1,20260626,label_permutation_residual,True,True,,False,,,True,True
grouped_video,1,20260626,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__train_only_video_mean_residual__seed20260626__best.npz,True,8c282ed1a9e699b2fe4d1f001e3bf9aa,8c282ed1a9e699b2fe4d1f001e3bf9aa,True,True
grouped_video,1,20260626,diagnostics_only_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__diagnostics_only_residual__seed20260626__best.npz,True,0dfa0c44d6638118a35323763638db44,0dfa0c44d6638118a35323763638db44,True,True
grouped_video,1,20260627,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__real_residual__seed20260627__best.npz,True,a6189d470ed22bb495c87cc6ca3f6ae5,a6189d470ed22bb495c87cc6ca3f6ae5,True,True
grouped_video,1,20260627,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__shuffled_pca_residual__seed20260627__best.npz,True,72547faa50fefed0a0e3e7f3fec8e2af,72547faa50fefed0a0e3e7f3fec8e2af,True,True
grouped_video,1,20260627,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__random_pca_residual__seed20260627__best.npz,True,83f700b5fab60f4a6641ee216fe0899e,83f700b5fab60f4a6641ee216fe0899e,True,True
grouped_video,1,20260627,label_permutation_residual,True,True,,False,,,True,True
grouped_video,1,20260627,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__train_only_video_mean_residual__seed20260627__best.npz,True,85867dd05064a7ca827d02ef4bd4d4c9,85867dd05064a7ca827d02ef4bd4d4c9,True,True
grouped_video,1,20260627,diagnostics_only_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__diagnostics_only_residual__seed20260627__best.npz,True,0333eb5846feffe73b5f93a69228eab6,0333eb5846feffe73b5f93a69228eab6,True,True
grouped_video,1,20260628,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__real_residual__seed20260628__best.npz,True,8c503da20ed701ccd87b50e45a743a8f,8c503da20ed701ccd87b50e45a743a8f,True,True
grouped_video,1,20260628,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__shuffled_pca_residual__seed20260628__best.npz,True,c8b94b69da4ce6778ff5d58cc610a113,c8b94b69da4ce6778ff5d58cc610a113,True,True
grouped_video,1,20260628,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__random_pca_residual__seed20260628__best.npz,True,83a4c0142c8fdd923d46b4699bd5a330,83a4c0142c8fdd923d46b4699bd5a330,True,True
grouped_video,1,20260628,label_permutation_residual,True,True,,False,,,True,True
grouped_video,1,20260628,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__train_only_video_mean_residual__seed20260628__best.npz,True,3e5d6a2073f1108cd321f38f55619334,3e5d6a2073f1108cd321f38f55619334,True,True
grouped_video,1,20260628,diagnostics_only_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__diagnostics_only_residual__seed20260628__best.npz,True,e4cb137f9fe0a1fb4dda25930be4f5f9,e4cb137f9fe0a1fb4dda25930be4f5f9,True,True
grouped_video,1,20260629,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1__short_temporal_conv_residual__real_residual__seed20260629__best.npz,True,811eeb4f973f07a54ea5d71b22fbcae6,811eeb4f973f07a54ea5d71b22fbcae6,True,True
