video_id,video_name,video_path,extension,game,participant_id,session_id,video_duration_seconds,annotation_duration_seconds,video_minus_annotation_seconds,abs_mismatch_seconds,near_plus_3s,near_minus_3s,near_0s,selection_reasons,contact_sheet_path,annotation_first_timestamp,annotation_last_timestamp,annotation_sampling_step_seconds,duplicated_timestamps,missing_timestamps,annotation_starts_at_zero,annotation_stops_roughly_3s_before_video_end,annotation_start_plus_3_aligns_end,trim_first_3s_aligns_duration,trim_last_3s_aligns_duration,first_3s_static_or_black,last_3s_static_or_black,pre_roll_evidence,post_roll_evidence
BC7EE230-0AF9-3AC5-24E5-8EC4B0B432A8_topdown_C1E0BA23-00AF-FD13-9B00-4F2306FE57EC,BC7EE230-0AF9-3AC5-24E5-8EC4B0B432A8_topdown_C1E0BA23-00AF-FD13-9B00-4F2306FE57EC.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/BC7EE230-0AF9-3AC5-24E5-8EC4B0B432A8_topdown_C1E0BA23-00AF-FD13-9B00-4F2306FE57EC.webm,.webm,TopDown,BC7EE230-0AF9-3AC5-24E5-8EC4B0B432A8,C1E0BA23-00AF-FD13-9B00-4F2306FE57EC,126.273,122.8468,3.4261999999999944,3.4261999999999944,True,False,False,largest_positive_mismatch,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/BC7EE230-0AF9-3AC5-24E5-8EC4B0B432A8_topdown_C1E0BA23-00AF-FD13-9B00-4F2306FE57EC.jpg,0.0,122.8468,0.2589000000000041,21,0,True,True,True,True,True,False,True,False,True
DCB45A10-FAF5-53E0-AB53-2D42AC9BB090_gallery_059E4DF3-7153-38D0-3966-D8157C89FCEF,DCB45A10-FAF5-53E0-AB53-2D42AC9BB090_gallery_059E4DF3-7153-38D0-3966-D8157C89FCEF.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/DCB45A10-FAF5-53E0-AB53-2D42AC9BB090_gallery_059E4DF3-7153-38D0-3966-D8157C89FCEF.webm,.webm,Shootout,DCB45A10-FAF5-53E0-AB53-2D42AC9BB090,059E4DF3-7153-38D0-3966-D8157C89FCEF,124.945,121.63915,3.3058499999999924,3.3058499999999924,True,False,False,largest_positive_mismatch,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/DCB45A10-FAF5-53E0-AB53-2D42AC9BB090_gallery_059E4DF3-7153-38D0-3966-D8157C89FCEF.jpg,0.12495,121.7641,0.2560000000000002,17,0,True,True,True,True,True,True,True,False,False
874A6B13-C999-C802-1138-FA198591D897_solid_ADB2A2F7-134D-65C9-12CC-128AE4A431C4,874A6B13-C999-C802-1138-FA198591D897_solid_ADB2A2F7-134D-65C9-12CC-128AE4A431C4.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/874A6B13-C999-C802-1138-FA198591D897_solid_ADB2A2F7-134D-65C9-12CC-128AE4A431C4.webm,.webm,Solid,874A6B13-C999-C802-1138-FA198591D897,ADB2A2F7-134D-65C9-12CC-128AE4A431C4,125.811,122.7606,3.0504000000000104,3.0504000000000104,True,False,False,random_seed_20260621,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/874A6B13-C999-C802-1138-FA198591D897_solid_ADB2A2F7-134D-65C9-12CC-128AE4A431C4.jpg,0.0,122.7606,0.2775999999999925,63,0,True,True,True,True,True,False,False,False,False
99827717-1B21-7ECC-CAD1-99489F7E19EA_solid_446137B1-0CB9-2120-DC76-7541D1FFEE4E,99827717-1B21-7ECC-CAD1-99489F7E19EA_solid_446137B1-0CB9-2120-DC76-7541D1FFEE4E.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/99827717-1B21-7ECC-CAD1-99489F7E19EA_solid_446137B1-0CB9-2120-DC76-7541D1FFEE4E.webm,.webm,Solid,99827717-1B21-7ECC-CAD1-99489F7E19EA,446137B1-0CB9-2120-DC76-7541D1FFEE4E,125.916,122.8483,3.067700000000002,3.067700000000002,True,False,False,random_seed_20260621,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/99827717-1B21-7ECC-CAD1-99489F7E19EA_solid_446137B1-0CB9-2120-DC76-7541D1FFEE4E.jpg,0.0,122.8483,0.2611000000000008,22,0,True,True,True,True,True,False,False,False,False
FC50071B-D2BA-C98B-AC6E-7339010D56DA_gallery_8560E34E-106E-978E-68B9-C0F006B32EC6,FC50071B-D2BA-C98B-AC6E-7339010D56DA_gallery_8560E34E-106E-978E-68B9-C0F006B32EC6.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/FC50071B-D2BA-C98B-AC6E-7339010D56DA_gallery_8560E34E-106E-978E-68B9-C0F006B32EC6.webm,.webm,Shootout,FC50071B-D2BA-C98B-AC6E-7339010D56DA,8560E34E-106E-978E-68B9-C0F006B32EC6,124.795,121.8591,2.9359000000000037,2.9359000000000037,True,False,False,random_seed_20260621,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/FC50071B-D2BA-C98B-AC6E-7339010D56DA_gallery_8560E34E-106E-978E-68B9-C0F006B32EC6.jpg,0.0,121.8591,0.2575999999999965,15,0,True,True,True,True,True,True,True,False,False
FC66D29E-8CD8-AE29-A071-33549272C1EE_gun_DCD07A2D-8272-E17B-D277-B7B90C44630E,FC66D29E-8CD8-AE29-A071-33549272C1EE_gun_DCD07A2D-8272-E17B-D277-B7B90C44630E.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/FC66D29E-8CD8-AE29-A071-33549272C1EE_gun_DCD07A2D-8272-E17B-D277-B7B90C44630E.webm,.webm,Run'N'Gun,FC66D29E-8CD8-AE29-A071-33549272C1EE,DCD07A2D-8272-E17B-D277-B7B90C44630E,125.846,122.77007,3.0759299999999996,3.0759299999999996,True,False,False,random_seed_20260621,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/FC66D29E-8CD8-AE29-A071-33549272C1EE_gun_DCD07A2D-8272-E17B-D277-B7B90C44630E.jpg,0.0,122.77007,0.25849999999999973,17,0,True,True,True,True,True,False,False,False,False
647C581E-E72F-0765-F94A-065909B99374_endless_95308EC2-755C-3727-71E1-9460BE0F9C21,647C581E-E72F-0765-F94A-065909B99374_endless_95308EC2-755C-3727-71E1-9460BE0F9C21.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/647C581E-E72F-0765-F94A-065909B99374_endless_95308EC2-755C-3727-71E1-9460BE0F9C21.webm,.webm,Endless,647C581E-E72F-0765-F94A-065909B99374,95308EC2-755C-3727-71E1-9460BE0F9C21,123.608,122.9557,0.652300000000011,0.652300000000011,False,False,False,smallest_mismatch,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/647C581E-E72F-0765-F94A-065909B99374_endless_95308EC2-755C-3727-71E1-9460BE0F9C21.jpg,0.0,122.9557,0.2645000000000053,34,0,True,False,False,False,False,False,False,False,False
647C581E-E72F-0765-F94A-065909B99374_platform_09E23002-0A95-96C1-2D9D-825462C4C000,647C581E-E72F-0765-F94A-065909B99374_platform_09E23002-0A95-96C1-2D9D-825462C4C000.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/647C581E-E72F-0765-F94A-065909B99374_platform_09E23002-0A95-96C1-2D9D-825462C4C000.webm,.webm,Pirates!,647C581E-E72F-0765-F94A-065909B99374,09E23002-0A95-96C1-2D9D-825462C4C000,125.046,122.8036,2.2424000000000035,2.2424000000000035,False,False,False,smallest_mismatch,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/647C581E-E72F-0765-F94A-065909B99374_platform_09E23002-0A95-96C1-2D9D-825462C4C000.jpg,0.0,122.8036,0.26839999999999975,50,0,True,False,True,True,True,False,False,False,False
AB9921A8-F143-E101-6A47-E66882F571B2_platform_C80B406C-B1A2-6DE9-C6DF-ADADFA7F9EDA,AB9921A8-F143-E101-6A47-E66882F571B2_platform_C80B406C-B1A2-6DE9-C6DF-ADADFA7F9EDA.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/AB9921A8-F143-E101-6A47-E66882F571B2_platform_C80B406C-B1A2-6DE9-C6DF-ADADFA7F9EDA.webm,.webm,Pirates!,AB9921A8-F143-E101-6A47-E66882F571B2,C80B406C-B1A2-6DE9-C6DF-ADADFA7F9EDA,124.925,122.834,2.090999999999994,2.090999999999994,False,False,False,smallest_mismatch,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/AB9921A8-F143-E101-6A47-E66882F571B2_platform_C80B406C-B1A2-6DE9-C6DF-ADADFA7F9EDA.jpg,0.0,122.834,0.25500000000000256,10,0,True,False,True,True,True,False,False,False,False
AB9921A8-F143-E101-6A47-E66882F571B2_tiny_3A7D6BD3-8CBE-71EB-1187-627B5E79EEB8,AB9921A8-F143-E101-6A47-E66882F571B2_tiny_3A7D6BD3-8CBE-71EB-1187-627B5E79EEB8.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/AB9921A8-F143-E101-6A47-E66882F571B2_tiny_3A7D6BD3-8CBE-71EB-1187-627B5E79EEB8.webm,.webm,TinyCars,AB9921A8-F143-E101-6A47-E66882F571B2,3A7D6BD3-8CBE-71EB-1187-627B5E79EEB8,121.897,119.6845,2.2125000000000057,2.2125000000000057,False,False,False,smallest_mismatch,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/AB9921A8-F143-E101-6A47-E66882F571B2_tiny_3A7D6BD3-8CBE-71EB-1187-627B5E79EEB8.jpg,0.0,119.6845,0.2540000000000049,10,0,True,False,True,True,True,False,False,False,False
F1430977-52AF-4F46-BF92-0A8D736CBD2B_platform_A01ADF10-31A9-1A25-7048-2EC7A4AD617D,F1430977-52AF-4F46-BF92-0A8D736CBD2B_platform_A01ADF10-31A9-1A25-7048-2EC7A4AD617D.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/F1430977-52AF-4F46-BF92-0A8D736CBD2B_platform_A01ADF10-31A9-1A25-7048-2EC7A4AD617D.webm,.webm,Pirates!,F1430977-52AF-4F46-BF92-0A8D736CBD2B,A01ADF10-31A9-1A25-7048-2EC7A4AD617D,127.209,126.04447,1.1645299999999992,1.1645299999999992,False,False,False,smallest_mismatch|random_seed_20260621,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/F1430977-52AF-4F46-BF92-0A8D736CBD2B_platform_A01ADF10-31A9-1A25-7048-2EC7A4AD617D.jpg,0.0,126.04447,0.26000000000000334,35,0,True,False,False,False,False,False,False,False,False
